origin,destination,old_distance,distance
PEK,YVR,5277,5270
PEK,YYZ,6561,
PER,SIN,2428,2427
PER,SYD,,2036
PHL,SEA,2372,
PHL,SFO,2516,
PHL,YHZ,689,
PHL,YUL,,394
PHL,YYZ,346,346
PHX,SEA,1106,
PHX,SFO,649,
PHX,YUL,2179,
PHX,YVR,1229,1229
PHX,YYC,1225,1224
PHX,YYZ,1873,1870
PRG,YYZ,,4148
PSP,YVR,1114,1114
PSP,YYC,1199,
PTP,YUL,2138,2135
PTY,SCL,2994,
PTY,YYZ,2398,
PUJ,YUL,1884,
PUJ,YYZ,,1852
PVG,SZX,,765
PVG,TPE,422,
PVG,YVR,5612,
PVG,YYZ,7095,
PVG,ZRH,,5604
PVR,SFO,1555,
PVR,YVR,2203,
PVR,YYC,2153,
RDU,YUL,,712
RDU,YYZ,542,540
RNO,SFO,192,
RSW,YYZ,1190,1189
SAL,UIO,,1183
SAL,YYZ,,2160
SAN,SFO,446,446
SAN,YVR,1178,1177
SAN,YYZ,2152,2150
SBA,SFO,262,
SCL,YYZ,5366,5347
SDJ,TPE,,1461
SEA,SFO,679,
SEA,YYZ,2054,2052
SFO,SIN,8449,
SFO,SLC,598,
SFO,SYD,7425,
SFO,TPE,,6448
SFO,YEG,1163,1161
SFO,YUL,2532,2529
SFO,YVR,800,799
SFO,YYC,1018,1017
SFO,YYJ,764,
SFO,YYZ,2254,2251
SFO,ZRH,5827,
SIN,SYD,,3906
SIN,TPE,,1999
SIN,YVR,,7951
SIN,ZRH,6400,6404
SJC,YVR,819,
SJD,YVR,,1940
SJD,YYC,,1943
SJO,YYZ,,2341
SJU,YYZ,1915,1913
SLC,YYZ,,1654
SNA,YVR,,1104
STL,YUL,,966
STL,YYZ,652,
SVG,TRD,,362
SXM,YYZ,,2013
SYD,YVR,7767,7757
SYD,YYZ,9665,9652
TLV,YYZ,5776,
TPA,YYZ,1097,
TPE,YVR,5950,5952
TPE,YYZ,,7495
TXL,YYZ,4025,
UVF,YYZ,2345,2342
VCE,WAW,606,
VCE,YUL,,3946
VCE,YYZ,,4253
VIE,YUL,,4010
VIE,YYZ,4304,4311
VIE,ZAG,171,
VIE,ZRH,365,375
WAW,YYZ,4309,
YAM,YYZ,306,
YCD,YYC,,458
YCD,YYZ,,2108
YDF,YHZ,,415
YDF,YUL,,805
YDF,YYT,236,
YDF,YYZ,1120,1119
YEG,YOW,1772,
YEG,YUL,1844,1843
YEG,YVR,502,502
YEG,YWG,739,
YEG,YXE,300,
YEG,YYC,158,
YEG,YYZ,1670,1669
YEG,YZF,633,633
YFC,YUL,,349
YFC,YYZ,658,658
YGR,YQB,450,
YHZ,YOW,593,592
YHZ,YQX,506,
YHZ,YUL,499,499
YHZ,YVR,2752,2748
YHZ,YYC,2326,
YHZ,YYR,598,598
YHZ,YYT,545,547
YHZ,YYZ,800,799
YKA,YYC,279,
YLW,YUL,,2107
YLW,YVR,178,178
YLW,YYZ,,1902
YMM,YYZ,,1636
YOW,YQM,532,
YOW,YVR,2207,2204
YOW,YWG,1049,
YOW,YYC,1788,1786
YOW,YYJ,2226,
YOW,YYT,1095,
